Name,Fold_Change,p_value
hsa-miR-708-3p,0.494556138881158,9.74748116197901e-06
hsa-miR-185-3p,0.476556667852562,1.32212261450542e-05
hsa-miR-495-3p,2.06178484897562,1.44813595451422e-05
hsa-miR-146b-3p,0.285235896582614,1.45700174137849e-05
hsa-miR-889-3p,2.3709339725443,1.59688413472245e-05
hsa-miR-133b,3.34182284576605,2.20481385502234e-05
hsa-miR-616-3p,0.380243455817809,2.52035806499909e-05
hsa-miR-885-5p,0.0533653041358469,2.5521728997468e-05
hsa-miR-508-5p,31.2497507622008,5.07426436892835e-05
hsa-miR-2114-3p,0.236803073036747,5.16537870061123e-05
hsa-miR-514a-3p,21.8820233149548,5.18585124265074e-05
hsa-miR-217-5p,4.58882811439918,5.22698919322929e-05
hsa-miR-509-3p,7.45313290538712,6.01928616627522e-05
hsa-miR-146a-3p,0.258953006757823,6.50136265354104e-05
hsa-miR-216a-5p,3.4295433867458,0.000163041046762253
hsa-miR-508-3p,21.9772246146946,0.000167085329721136
hsa-miR-5683,0.429574534181044,0.000177713245977601
hsa-miR-653-5p,0.276076742800702,0.000197161471842889
hsa-miR-1229-3p,0.458529296050051,0.000236759039782893
hsa-miR-144-5p,0.308662288409173,0.000273398495153213
hsa-miR-144-3p,0.354329680818162,0.000316340867392856
hsa-miR-133a-3p,2.29591774934317,0.000450750412181099
hsa-miR-935,0.431207918895644,0.000570652512727113
hsa-miR-486-5p,0.396570578287288,0.000585714595286895
hsa-miR-506-3p,60.7922512663049,0.000649657170790021
hsa-miR-129-5p,12.2258497676021,0.000721469278633034
hsa-miR-450b-5p,0.456957861327636,0.00088944579915598
hsa-miR-513c-5p,10.117114417717,0.00104810585841686
hsa-miR-509-3-5p,17.9354200234451,0.00122999092998192
hsa-miR-1269a,0.0914761788081255,0.00125534735504159
hsa-miR-211-5p,0.425700204197493,0.00147575768378197
hsa-miR-187-3p,2.75427555941383,0.00164968668803572
hsa-miR-507,40.8537696930595,0.00294433995941485
hsa-miR-514b-5p,72.6996594255629,0.00302653475120835
hsa-miR-1-3p,2.1617967465641,0.00577636511316178
hsa-miR-451a,0.374325417899002,0.0064542310655332
hsa-miR-7702,0.24819928862016,0.0180743175213467
hsa-miR-1269b,0.0942663225800886,0.0207939824799525
hsa-miR-20b-3p,2.06045965566867,0.0262758944133587
hsa-miR-153-3p,0.290390131846694,0.0348305417532027
