GeneSymbol,miRNA,mirDIPscore,r_values, p_values,false_discovery_rate
STIM2,hsa-miR-30b-5p,0.910233046990027,-0.11314813132291,0.0105521148107119,0.0446828558437251
ARSJ,hsa-miR-181b-5p,0.910121908280473,-0.137801640970487,0.00181308013700348,0.0109317239776399
LDLRAD4,hsa-miR-130b-3p,0.910094295067095,-0.157845217772835,0.000345761236742644,0.00280219306322045
LRIG1,hsa-miR-16-5p,0.909836862865025,-0.116635545562862,0.00837557344323834,0.0372385352787052
MAP3K3,hsa-miR-106b-5p,0.909679559162429,-0.139830917345155,0.00154739968654988,0.00962474644704112
PCDH17,hsa-miR-30b-5p,0.909612263289313,-0.140558878736976,0.00146115611578195,0.00919741536975362
COBLL1,hsa-miR-16-5p,0.909231322425704,-0.18624167407874,2.30905366227838e-05,0.000288282011727637
SLC20A2,hsa-miR-16-5p,0.909004934923031,-0.125622929254179,0.00449346106761233,0.0227237404245487
HIVEP2,hsa-miR-130b-3p,0.908786519110868,-0.185558729346971,2.47683514005467e-05,0.000305791066792
MED13,hsa-miR-429,0.908732158027997,-0.144614235008756,0.00105636834635003,0.00705659243174446
CCND1,hsa-miR-106b-5p,0.908582519955879,-0.169477025074901,0.00012016293905356,0.00116551303163654
ZFYVE9,hsa-miR-106b-5p,0.908524874049185,-0.192025862944434,1.26186481670326e-05,0.000172266472994625
DYNC1I1,hsa-miR-155-5p,0.908139679446101,-0.11199351102404,0.0113760472537618,0.0473741211332898
ZEB2,hsa-miR-141-3p,0.908007902522196,-0.145799324112238,0.000959313230149067,0.00652400144230743
KPNA4,hsa-miR-106b-5p,0.907794325283361,-0.124260290013545,0.00495098564383848,0.0245536576333614
S1PR1,hsa-miR-130b-3p,0.907479333010447,-0.294711603124561,1.1167783591059e-11,6.10374623210377e-10
PCDHAC2,hsa-miR-106b-5p,0.907469637193242,-0.144192322138206,0.00109305372838673,0.00725533247624664
EDA,hsa-miR-15a-5p,0.907361825405764,-0.124730927063715,0.00478841953757187,0.0238893820051309
MAPRE3,hsa-miR-106b-5p,0.907324021162929,-0.124880323740201,0.00473783172878029,0.0236930778061771
CCSER2,hsa-miR-106b-5p,0.907208836799565,-0.198932320966614,5.98771585829752e-06,9.07101857536154e-05
PHF3,hsa-miR-130b-3p,0.90716189351405,-0.184384934591049,2.79253455662042e-05,0.000338582758086151
NUS1,hsa-miR-30b-5p,0.907026084049439,-0.153767303983584,0.000492541799965117,0.00375253193226942
COPS2,hsa-miR-15a-5p,0.906922683883583,-0.123609418588633,0.00518400845794528,0.0254747756672999
GID4,hsa-miR-21-5p,0.906898654390272,-0.367684670793162,9.02886730929338e-18,1.03639586799861e-15
DPYSL2,hsa-miR-30b-5p,0.906793760327789,-0.209912242226868,1.73355779352055e-06,3.11188208471327e-05
FOXP1,hsa-miR-181b-5p,0.906716108641698,-0.13808296060247,0.00177390787666984,0.0107395742363112
PDE7B,hsa-miR-138-5p,0.906353153071892,-0.203034718788096,3.79788540869515e-06,6.14174906231815e-05
EPC2,hsa-miR-130b-3p,0.906282961521815,-0.207909112870831,2.18437989463188e-06,3.80624261607768e-05
FAP,hsa-miR-30b-5p,0.90573292695127,-0.128249002693295,0.00371792722938956,0.0195391386674255
SOX5,hsa-miR-200a-3p,0.905604353892377,-0.113533559347546,0.0102891032175928,0.0438109415615414
PTPRG,hsa-miR-200a-3p,0.905516789986808,-0.115270896640974,0.00917440149117642,0.0400360932574124
RNF220,hsa-miR-30b-5p,0.905482166457375,-0.111889915244386,0.0114526853517499,0.0476270995760585
SKP1,hsa-miR-130b-3p,0.905130831952387,-0.242996758177139,2.73369812906924e-08,7.76698597934874e-07
KLF11,hsa-miR-138-5p,0.904839195863245,-0.237193868652745,5.92670080959984e-08,1.55218225920346e-06
PCDHA12,hsa-miR-106b-5p,0.904797418623657,-0.114817667527788,0.00945432643622678,0.0409972542061433
WDFY3,hsa-miR-106b-5p,0.904672107392616,-0.182616682851911,3.34099493882362e-05,0.000395776602713813
ENPP5,hsa-miR-106b-5p,0.904554269527285,-0.243979878641157,2.39308341161631e-08,6.88916800754666e-07
SLC22A23,hsa-miR-106b-5p,0.904515863088197,-0.209204945585386,1.88147001447378e-06,3.33993155032639e-05
HLF,hsa-miR-106b-5p,0.904399682350631,-0.194984424701657,9.19855081454931e-06,0.000131550519455596
PER2,hsa-miR-30b-5p,0.904268580485962,-0.130794286801602,0.00308413934199805,0.0167956097946924
G3BP2,hsa-miR-130b-3p,0.904172310534213,-0.136758490890871,0.00196535208446038,0.0116637043590101
AGO1,hsa-miR-106b-5p,0.903904561656326,-0.152040474165821,0.000570676223025501,0.004235716884059
ADD1,hsa-miR-153-3p,0.9034690203862,-0.134890392595042,0.0022676049731722,0.0130891278363384
MPPED2,hsa-miR-130b-3p,0.903424289857591,-0.128466396397704,0.00365951047122409,0.0192815949130792
FGD5,hsa-miR-106b-5p,0.903375636706113,-0.211235391137777,1.48624219063709e-06,2.7186065338838e-05
CITED2,hsa-miR-199a-3p,0.90313347326509,-0.134933291234676,0.00226021244458809,0.0130561523407573
ERG,hsa-miR-30b-5p,0.903078474599861,-0.147905778397516,0.000806856974854182,0.00564488635011459
ZBTB47,hsa-miR-106b-5p,0.903062553549328,-0.217359246530784,7.19621010667515e-07,1.43132369107691e-05
SPRYD3,hsa-miR-16-5p,0.902942718740115,-0.166185341486166,0.000163226998908755,0.00150986361503339
RPS6KB1,hsa-miR-200c-3p,0.902930925531022,-0.17341858381254,8.26443956731561e-05,0.000850822880639688
MSANTD2,hsa-miR-1-3p,0.90274286765066,-0.126491610992981,0.0042220906214187,0.0216160797658498
NTN4,hsa-miR-106b-5p,0.90270058340924,-0.147104075949544,0.000862024216585944,0.00596678017940648
TRAF6,hsa-miR-146b-5p,0.902099195516617,-0.238962115346257,4.69161992598562e-08,1.259952362058e-06
RAP1B,hsa-miR-429,0.902058311317363,-0.140083037537195,0.00151701487066944,0.00947746722910249
NR5A2,hsa-miR-200c-3p,0.901962233831732,-0.132364262861193,0.00274391241304312,0.0152815937848675
YWHAQ,hsa-miR-15a-5p,0.901804096708153,-0.134991276558659,0.00225025508452326,0.0130076099754397
EZH1,hsa-miR-106b-5p,0.901687176110054,-0.203147804216969,3.75002468987108e-06,6.07518515263348e-05
ZEB2,hsa-miR-200c-3p,0.901658319647518,-0.12008721728215,0.00662500535206288,0.0308837695412234
AP1AR,hsa-miR-21-5p,0.901304451359659,-0.367613835179706,9.16976517726083e-18,1.05035316532544e-15
RSBN1,hsa-miR-106b-5p,0.901240637170997,-0.153178924744267,0.000517972274710921,0.00391285713221055
E2F5,hsa-miR-1-3p,0.901197531819638,-0.148387803358451,0.000775279186439404,0.00546082791830948
RAPGEF4,hsa-miR-130b-3p,0.901155785700887,-0.252637276607391,7.23124826620817e-09,2.36232354798031e-07
NR5A2,hsa-miR-200b-3p,0.900747898214085,-0.226016147982226,2.4888558841207e-07,5.60381377194799e-06
YWHAG,hsa-miR-135a-5p,0.900501078180265,-0.154032094092603,0.000481480288797512,0.00368425019804287
